Pico001,1000000,Long Corporation,6290000,https://pico.vn/41046/may-giat-toshiba-8-kg-awk905dvsg--mau-ghi.html,WashingMachine,human
Pico0066,Máy Giặt Cửa Trên Panasonic 10 Kg NA-F100A4GRV,Panasonic,7490000,https://pico.vn/35996/may-giat-panasonic-naf100a4grv--100-kg-mau-xam.html,WashingMachine,front door
Pico0067,Máy Giặt Sấy LG F2514DTGW Trắng,LG,25900000,https://pico.vn/33046/may-giat-say-lg-f2514dtgw--140kg80say-dd-mau-trang.html,WashingMachine,front door
Pico0068,Máy Giặt Samsung WA85J5712SG/SV 8.5Kg,Samsung,5890000,https://pico.vn/32268/may-giat-samsung-wa85j5712sgsv-85-kg-chong-xoan-roi.html,WashingMachine,upper door
Pico0069,Máy Giặt Bosch WAT24480SG 8 Kg,Bosch,20990000,https://pico.vn/31573/may-giat-bosch-wat24480sg--80kg-long-ngang.html,WashingMachine,front door
Pico0070,Máy Giặt Lồng Ngang Bosch WAW28480SG 9 Kg,Bosch,27990000,https://pico.vn/31186/may-giat-bosch-waw28480sg--90kg-long-ngang.html,WashingMachine,front door
Pico0071,Máy Giặt Samsung WA90J5710SG/SV  - 9 kg,Samsung,6790000,https://pico.vn/27731/may-giat-samsung-wa90j5710sgsv---9-kg-mau-xam.html,WashingMachine,upper door
Pico0072,Máy Giặt Samsung WA14J6750SP/SV,Samsung,12990000,https://pico.vn/27730/may-giat-samsung-wa14j6750spsv--14-kg-mau-inox.html,WashingMachine,front door
Pico0073,Máy Giặt Samsung WA12J5750SP/SV - 12 kg ,Samsung,10990000,https://pico.vn/27729/may-giat-samsung-wa12j5750spsv--12-kg-mau-inox.html,WashingMachine,front door
Pico0074,Máy Giặt Samsung WA10J5710SG/SV - 10kg Xám,Samsung,7390000,https://pico.vn/27728/may-giat-samsung-wa10j5710sgsv--10-kg-mau-xam.html,WashingMachine,front door
Pico0075,Máy Giặt Toshiba AW-E920LVW  8.2 Kg Xanh,Toshiba,5190000,https://pico.vn/26232/may-giat-toshiba-awe920lvwb-82kg--mau-xanh.html,WashingMachine,upper door
Pico0076,Máy Giặt Toshiba DC1000CVWB 9 Kg Xám Bạc,Toshiba,8400000,https://pico.vn/22492/may-giat-toshiba-dc1000cvwb--90kg--dd-mau-xam-bac.html,WashingMachine,front door
Pico0077,Máy giặt Toshiba B1100GV,Toshiba,6590000,https://pico.vn/21227/may-giat-toshiba-b1100gv-10kg-mau-xam-dong.html,WashingMachine,upper door
Pico0078,Máy Giặt Toshiba B1000GV 9Kg,Toshiba,6390000,https://pico.vn/21225/may-giat-toshiba-b1000gv-9kg-mau-xanh-duong.html,WashingMachine,upper door
Pico0079,Máy Giặt Toshiba A800SVWB 7.0 kg,Toshiba,4190000,https://pico.vn/13991/may-giat-toshiba-a800svwb-70kg--nhap-khau.html,WashingMachine,upper door
Pico0080,Điện Thoại Samsung Galaxy M21 Đen 64GB,Samsung,5490000,https://pico.vn/41136/dtdd-samsung-smm215fds-64gb-dengalaxy-m21.html,MobilePhone,Black
Pico0081,Điện Thoại Samsung Galaxy M21 Xanh 64GB,Samsung,5490000,https://pico.vn/41135/dtdd-samsung-smm215fds-64gb-xanh.html,MobilePhone,Blue
Pico0082,Điện Thoại OPPO A12 3/32GB Xanh,Oppo,3490000,https://pico.vn/41131/dien-thoai-di-dong-oppo-cph2083--a12-332gb-xanh.html,MobilePhone,Blue
Pico0083,Điện Thoại OPPO A12 3/32GB Đen,Oppo,3490000,https://pico.vn/41130/dien-thoai-di-dong-oppo-cph2083--a12-332gb-den.html,MobilePhone,Black
Pico0084,Điện Thoại Samsung Galaxy A11 32GB Trắng,Samsung,3690000,https://pico.vn/41127/dtdd-samsung-sma115fds-32gb-tranggalaxy-a11.html,MobilePhone,White
Pico0085,Điện Thoại Samsung Galaxy A11 32GB Đen,Samsung,3690000,https://pico.vn/41126/dtdd-samsung-sma115fds-32gb-dengalaxy-a11.html,MobilePhone,Black
Pico0086,Điện Thoại Samsung Galaxy A11 32GB Xanh,Samsung,3690000,https://pico.vn/41125/dtdd-samsung-sma115fds-32gb-xanhgalaxy-a11.html,MobilePhone,Blue
Pico0087,Samsung Galaxy A31 Xanh 128Gb,Samsung,6490000,https://pico.vn/41124/dtdd-samsung-sma315fds-128gb-xanhgalaxy-a31.html,MobilePhone,Blue
Pico0088, Samsung Galaxy A31 Trắng 128Gb,Samsung,6490000,https://pico.vn/41123/dtdd-samsung-sma315fds-128gb-tranggalaxy-a31.html,MobilePhone,White
Pico0089,Samsung Galaxy A31 Đen 128Gb,Samsung,6490000,https://pico.vn/41122/dtdd-samsung-sma315fds-128gb-dengalaxy-a31.html,MobilePhone,Black
Pico0090,Điện Thoại Samsung Galaxy A01 Đỏ,Samsung,2790000,https://pico.vn/40996/td-samsung-sma015fds-16gb-do.html,MobilePhone,Red
Pico0091,Điện Thoại Oppo A31 4GB Đen,Oppo,3990000,https://pico.vn/40980/dien-thoai-di-dong-oppo-cph2073--a31-4gb-den.html,MobilePhone,Black
Pico0092,Điện Thoại Oppo A31 4GB Trắng,Oppo,3990000,https://pico.vn/40977/dien-thoai-di-dong-oppo-cph2073--a31-4gb-trang.html,MobilePhone,White
Pico0093,Điện Thoại Samsung Galaxy A01 Xanh,Samsung,2790000,https://pico.vn/40974/td-samsung-sma015fds-16gb-xanh.html,MobilePhone,Blue
Pico0094,Điện Thoại Samsung Galaxy A01 16GB Đen,Samsung,2790000,https://pico.vn/40973/td-samsung-sma015fds-16gb-en.html,MobilePhone,Black
Pico0095,IPhone 8 Plus 64GB Gold A1897-MQ8N2VN/A,iPhone,13490000,https://pico.vn/40972/dien-thoai-di-dong-iphone-8-plus-64gb-gold-a1897mq8n2vna.html,MobilePhone,Gold
Pico0096,Iphone 11 Red 64GB-VIE-MWLV2VN/A + Kit Viettel,iPhone,19690000,https://pico.vn/40971/dien-thoai-di-dong-iphone-11-red-64gbviemwlv2vna--kit-viettel.html,MobilePhone,Red
Pico0097,Samsung Note 10 Lite128GB Bạc,Samsung,13990000,https://pico.vn/40928/dtdd-samsung-smn770fds-128gb-bacnote-10-lite.html,MobilePhone,Silver
Pico0098,Samsung Note 10 Lite128GB Đen,Samsung,13990000,https://pico.vn/40927/dtdd-samsung-smn770fds-128gb-dennote-10-lite.html,MobilePhone,Black
Pico0099,Điện Thoại Samsung S20 128Gb Hồng,Samsung,19490000,https://pico.vn/40926/dtdd-samsung-smg980fds-128gb-hongs20.html,MobilePhone,Pink
Pico00100,Samsung Galaxy Note 8 Đen,Samsung,14990000,https://pico.vn/36140/dien-thoai-di-dong-samsung-n950-den--galaxy-note-8.html,MobilePhone,Black
Pico00101,Samsung Galaxy Note 8 Gold,Samsung,14990000,https://pico.vn/36142/dien-thoai-di-dong-samsung-n950-vang--galaxy-note-8.html,MobilePhone,Gold
Pico00102,Điện thoại di động Samsung Galaxy S8 Plus,Samsung,14990000,https://pico.vn/35111/dien-thoai-di-dong-samsung-g955-den--galaxy-s8-plus.html,MobilePhone,no color
Pico00103,Galaxy S8 Plus Vàng,Samsung,14990000,https://pico.vn/35351/dien-thoai-di-dong-samsung-g955-vang--galaxy-s8-plus.html,MobilePhone,Yellow
Pico00104,Điện thoại di động Samsung Galaxy S8 - Màu Đen,Samsung,13990000,https://pico.vn/35110/dien-thoai-di-dong-samsung-g950-den--galaxy-s8.html,MobilePhone,Black
Pico00105,iPhone 6 32GB Gold MQ3E2VNA,iPhone,6990000,https://pico.vn/35249/dien-thoai-apple-iphone-6-gold-32gb-mq3e2vna.html,MobilePhone,Gold
Pico00106,Galaxy J7 Prime Đen,Samsung,4599000,https://pico.vn/33373/dien-thoai-di-dong-samsung-g610-mau-den--galaxy-j7-prime.html,MobilePhone,Black
Pico00107,Điện Thoại Nokia 5 Đen ,Nokia,2290000,https://pico.vn/35887/dien-thoai-di-dong-nokia-5-black--ta1053.html,MobilePhone,Black
Pico00108,Điện Thoại Nokia 5 - Màu Xanh NK1053BL,Nokia,2290000,https://pico.vn/35977/dien-thoai-di-dong-nokia-5-blue--ta1053.html,MobilePhone,Blue
Pico00109,Điện Thoại Nokia 5 NK1053C - Màu Đồng,Nokia,2290000,https://pico.vn/36022/dien-thoai-di-dong-nokia-5-copper--dong---ta1053.html,MobilePhone,no color
Pico00110,Điện Thoại Nokia 5 Bạc,Nokia,2290000,https://pico.vn/35882/dien-thoai-di-dong-nokia-5-silver--ta1053.html,MobilePhone,Silver
Pico00111,Điện Thoại Samsung Galaxy J2 Prime - Màu Vàng,Samsung,1890000,https://pico.vn/34591/dien-thoai-di-dong-samsung-g532-mau-vang--galaxy-j2-prime.html,MobilePhone,Yellow
Pico00112,Điện Thoại Nokia 3310 Blue,Nokia,999000,https://pico.vn/35525/dien-thoai-di-dong-nokia-3310-mau-blue.html,MobilePhone,Blue
Pico00113,Điện Thoại Nokia 3310 Grey,Nokia,999000,https://pico.vn/35526/dien-thoai-di-dong-nokia-3310-mau-grey.html,MobilePhone,Grey
Pico00114,Điện thoại di động Nokia 225 Bright Green,Nokia,999000,https://pico.vn/25405/dien-thoai-di-dong-nokia-225-bright-green.html,MobilePhone,Green
Pico00115,Điện Thoại Di Động Nokia N108 Đen,Nokia,748000,https://pico.vn/22679/dien-thoai-di-dong-nokia-n108-den.html,MobilePhone,Black
Pico00116,Điện Thoại Di Động Samsung Galaxy A7 2017,Samsung,6990000,https://pico.vn/34778/dien-thoai-di-dong-samsung-a720-mau-vang--galaxy-a7-2017.html,MobilePhone,no color
Pico00117,Điện thoại Samsung Galaxy A5 2017,Samsung,5590000,https://pico.vn/34685/dien-thoai-di-dong-samsung-a520--galaxy-a5-2017.html,MobilePhone,no color
Pico00118,Điện Thoại Nokia NK150B ( RM-1190 ),Nokia,719000,https://pico.vn/35277/dien-thoai-di-dong-nokia-rm1190-150-ds-black.html,MobilePhone,Black
Pico00119,Điện Thoại Samsung Galaxy J2 Core Đen,Samsung,1990000,https://pico.vn/39043/dien-thoai-di-dong-samsung-j260g-mau-den--galaxy-j2-core.html,MobilePhone,Black
Pico00120,Điện Thoại Oppo A7 64GB Vàng,Oppo,3690000,https://pico.vn/38842/dien-thoai-di-dong-oppo-a7-64gb--cph1905-vang.html,MobilePhone,Yellow
Pico00121,Iphone XR 64GB White,iPhone,19990000,https://pico.vn/38745/dien-thoai-di-dong-iphone-xr-64gb-white-mry52vna.html,MobilePhone,White
Pico00122,Iphone XS Max 256GB Gold,iPhone,29990000,https://pico.vn/38737/dien-thoai-di-dong-iphone-xs-max-256gb-gold--mt552vna.html,MobilePhone,Gold
Pico00123,Iphone XS Max 64GB Space Grey ,iPhone,29990000,https://pico.vn/38732/dien-thoai-di-dong-iphone-xs-max-64gb-space-grey--mt502vna.html,MobilePhone,Grey
Pico00124,Iphone XS 256GB Gold,iPhone,29990000,https://pico.vn/38728/dien-thoai-di-dong-iphone-xs-256gb-gold--mt9k2vna.html,MobilePhone,Gold
Pico00125,Điện Thoại Di Động Oppo F9 Xanh,Oppo,4990000,https://pico.vn/38544/dien-thoai-di-dong-oppo-f9---cph1825-xanh.html,MobilePhone,Blue
Pico00126,Điện Thoại Di Động Nokia 2.1 Blue,Nokia,1690000,https://pico.vn/38490/dien-thoai-di-dong-nokia-21-ta1080-ds-vn-bluecopper11e2mx21b06.html,MobilePhone,Blue
Pico00127,Điện Thoại Di Động Nokia 6.1 Plus Blue,Nokia,3590000,https://pico.vn/38473/dien-thoai-di-dong-nokia-61-plus-ta1116-ds-vn-blue11drgl21a08.html,MobilePhone,Blue
Pico00128,Điện Thoại Di Động Nokia 6.1 Plus Black,Nokia,3590000,https://pico.vn/38472/dien-thoai-di-dong-nokia-61-plus-ta1116-ds-vn-black11drgb21a09.html,MobilePhone,Black
Pico00129,Điện Thoại Di Động Nokia 3.1 2018 Blue,Nokia,2390000,https://pico.vn/38135/dien-thoai-di-dong-nokia-31-2018--ta1063-ds-216-vn-blue.html,MobilePhone,Blue
Pico00130,Điện Thoại Di Động Nokia 3.1 2018 Black,Nokia,2390000,https://pico.vn/38134/dien-thoai-di-dong-nokia-31-2018-ta1063-ds-216-vn-black.html,MobilePhone,Black
Pico00131,Oppo F7 64G Đen,Oppo,3690000,https://pico.vn/38127/dien-thoai-di-dong-oppo-f7-den--cph1819-black.html,MobilePhone,Black
Pico00132,Điện Thoại Huawei Y7 Pro 2018 Đen,Huawei,1790000,https://pico.vn/38093/dien-thoai-di-dong-huawei-y7-pro-2018-denldnlx2b.html,MobilePhone,Black
Pico00133,Điện Thoại Di Động Huawei Y7 Pro 2018 Vàng,Huawei,1790000,https://pico.vn/37992/dien-thoai-di-dong-huawei-y7-pro-2018-vangldnlx2g.html,MobilePhone,Yellow
Pico00134,Điện Thoại Huawei Y7 Pro 2018 Xanh,Huawei,1790000,https://pico.vn/37883/dien-thoai-di-dong-huawei-y7-pro-2018-xanhldnlx2blue.html,MobilePhone,Blue
Pico00135,Điện Thoại Huawei Y6 Prime 2018 Vàng,Huawei,1790000,https://pico.vn/37873/dien-thoai-di-dong-huawei-y6-prime-2018-vangatul42g.html,MobilePhone,Yellow
Pico00136,Điện Thoại Huawei Y6 Prime 2018 Xanh,Huawei,1790000,https://pico.vn/37872/dien-thoai-di-dong-huawei-y6-prime-2018-xanhatul42blue.html,MobilePhone,Blue
Pico00137,Điện Thoại Huawei Nova 3e Hồng,Huawei,2490000,https://pico.vn/37871/dien-thoai-di-dong-huawei-nova-3e-honganelx2p.html,MobilePhone,Pink
Pico00138,Điện Thoại Huawei Nova 3e Đen,Huawei,2490000,https://pico.vn/37869/dien-thoai-di-dong-huawei-nova-3e-denanelx2b.html,MobilePhone,Black
Pico00139,Oppo F7 128G Đen ,Oppo,4490000,https://pico.vn/37705/dien-thoai-di-dong-oppo-f7-128g-den--cph1821-black.html,MobilePhone,Black
Pico00140,Điện Thoại Nokia 8110 4G Đen,Nokia,1290000,https://pico.vn/37694/dien-thoai-di-dong-nokia-8110-4g--black.html,MobilePhone,Black
Pico00141,Nokia 7 Plus NK1046 Trắng,Nokia,4490000,https://pico.vn/37693/dien-thoai-di-dong-nokia-7-plus-ta1046-ds-464-vn-white-mau-trang.html,MobilePhone,White
Pico00142,Oppo F7 - CPH1819 Silver,Oppo,3690000,https://pico.vn/37545/dien-thoai-di-dong-oppo-f7-bac--cph1819-silver.html,MobilePhone,Silver
